Payer;SoldTo;;Division Brand;Division;;Season Year Sub;Sales Document;Sales Document Type;Customer PO;Article MH3 Lifestyle;Article MH1 World;Generic Article;Article Style;Article MH6 Sub Product Group;Article Color Code;Article Color Text;Article Size;Article MH2 Gender;GTIN;Article Program;Commodity Code Vendor;Article Country of Origin;Article Fiber Components;Price Net;Price Wholesale;Price Retail;Season Main;RDD;Cancellation Date;Rejection Reason;Order Qty;Rejected Qty;Total Qty;Confirmed Qty;Retail Value;Weight Net Item;Weight Gross Item
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;12;Boys;8720114803084;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;3 ;0 ;3 ;3 ;5,997.00 ;1.20 ;1.65 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;12;Boys;8720114803084;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;2 ;0 ;2 ;2 ;3,998.00 ;0.80 ;1.10 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;14;Boys;8720114803091;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;3 ;0 ;3 ;3 ;5,997.00 ;1.20 ;1.65 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;14;Boys;8720114803091;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;2 ;0 ;2 ;2 ;3,998.00 ;0.80 ;1.10 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;16;Boys;8720114803107;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;1 ;0 ;1 ;1 ;1,999.00 ;0.40 ;0.55 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;16;Boys;8720114803107;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;2 ;0 ;2 ;2 ;3,998.00 ;0.80 ;1.10 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;8;Boys;8720114803060;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;1 ;0 ;1 ;1 ;1,999.00 ;0.40 ;0.55 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;8;Boys;8720114803060;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;1 ;0 ;1 ;1 ;1,999.00 ;0.40 ;0.55 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;10;Boys;8720114870529;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;2 ;0 ;2 ;2 ;2,798.00 ;1.00 ;1.30 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;10;Boys;8720114870529;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;1 ;0 ;1 ;1 ;1,399.00 ;0.50 ;0.65 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;12;Boys;8720114870550;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;3 ;0 ;3 ;3 ;4,197.00 ;1.50 ;1.95 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;12;Boys;8720114870550;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;2 ;0 ;2 ;2 ;2,798.00 ;1.00 ;1.30 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;14;Boys;8720114870611;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;3 ;0 ;3 ;3 ;4,197.00 ;1.50 ;1.95 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;14;Boys;8720114870611;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;2 ;0 ;2 ;2 ;2,798.00 ;1.00 ;1.30 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;16;Boys;8720114870666;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;3 ;0 ;3 ;3 ;4,197.00 ;1.50 ;1.95 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;16;Boys;8720114870666;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;2 ;0 ;2 ;2 ;2,798.00 ;1.00 ;1.30 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;8;Boys;8720114870482;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;1 ;0 ;1 ;1 ;1,399.00 ;0.50 ;0.65 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB06751MRZ;REVERSIBLE SHERPA VEST;Vests;MRZ;Dark Olive / Sherpa;8;Boys;8720114870482;##;6201930000;China;RECYCLED POLYESTER (100%);500;500;1399;Summer/Fall;15-08-2021;01-11-2021;;1 ;0 ;1 ;1 ;1,399.00 ;0.50 ;0.65 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;10;Boys;8720114839151;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;2 ;0 ;2 ;2 ;1,398.00 ;1.20 ;1.50 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;10;Boys;8720114839151;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;2 ;0 ;2 ;2 ;1,398.00 ;1.20 ;1.50 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;12;Boys;8720114839182;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;3 ;0 ;3 ;3 ;2,097.00 ;1.80 ;2.25 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;12;Boys;8720114839182;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;2 ;0 ;2 ;2 ;1,398.00 ;1.20 ;1.50 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;14;Boys;8720114839311;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;3 ;0 ;3 ;3 ;2,097.00 ;1.80 ;2.25 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;14;Boys;8720114839311;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;3 ;0 ;3 ;3 ;2,097.00 ;1.80 ;2.25 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;16;Boys;8720114839342;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;1 ;0 ;1 ;1 ;699.00 ;0.60 ;0.75 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;16;Boys;8720114839342;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;1 ;0 ;1 ;1 ;699.00 ;0.60 ;0.75 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;8;Boys;8720114839106;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;1 ;0 ;1 ;1 ;699.00 ;0.60 ;0.75 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068301BJ;SCANTON SLIM;Pants;1BJ;Darkusedcomf;8;Boys;8720114839106;##;6203423100;Tunisia;COTTON (78%), RECYCLED COTTON (20%), ELASTANE (2%);250;250;699;Summer/Fall;15-07-2021;01-11-2021;;1 ;0 ;1 ;1 ;699.00 ;0.60 ;0.75 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068401A6;MODERN STRAIGHT EMBROIDERY;Pants;1A6;Authmedused;10;Boys;8720114844742;##;6203423500;Tunisia;COTTON (79%), RECYCLED COTTON (20%), ELASTANE (1%);285.5;285.5;799;Summer/Fall;15-07-2021;01-11-2021;;2 ;0 ;2 ;2 ;1,598.00 ;1.20 ;1.50 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068401A6;MODERN STRAIGHT EMBROIDERY;Pants;1A6;Authmedused;10;Boys;8720114844742;##;6203423500;Tunisia;COTTON (79%), RECYCLED COTTON (20%), ELASTANE (1%);285.5;285.5;799;Summer/Fall;15-07-2021;01-11-2021;;2 ;0 ;2 ;2 ;1,598.00 ;1.20 ;1.50 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB068401A6;MODERN STRAIGHT EMBROIDERY;Pants;1A6;Authmedused;12;Boys;8720114844773;##;6203423500;Tunisia;COTTON (79%), RECYCLED COTTON (20%), ELASTANE (1%);285.5;285.5;799;Summer/Fall;15-07-2021;01-11-2021;;3 ;0 ;3 ;3 ;2,397.00 ;1.80 ;2.25 
